training_seed,block_id,target_force_n,fixed_joint_pass,full_joint_pass,difference_joint_pass,fixed_task_success,full_task_success,difference_task_success,fixed_tracking_pass,full_tracking_pass,difference_tracking_pass,fixed_mean_relative_error,full_mean_relative_error,difference_mean_relative_error,fixed_target_normalized_rmse,full_target_normalized_rmse,difference_target_normalized_rmse,fixed_absolute_signed_bias,full_absolute_signed_bias,difference_absolute_signed_bias,fixed_peak_force_n,full_peak_force_n,difference_peak_force_n,fixed_median_planning_ms,full_median_planning_ms,difference_median_planning_ms,fixed_mean_planning_samples,full_mean_planning_samples,difference_mean_planning_samples
202,K2,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20761546281853102,0.20089199605996053,-0.0067234667585704955,0.22065116411600325,0.21565142254250294,-0.004999741573500305,0.20761546281853102,0.20089199605996053,-0.0067234667585704955,10.799352645874023,10.980993270874023,0.181640625,101.35729150033512,85.28131300045061,-16.075978499884513,128.0,133.98965873836607,5.989658738366074
202,P1,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.09951966241348628,0.12016202031649073,0.02064235790300445,0.10541832968691797,0.12484461000256797,0.019426280315649996,0.09951966241348628,0.12016202031649073,0.02064235790300445,4.765145301818848,4.754980087280273,-0.010165214538574219,100.9399320000739,77.03904299887654,-23.900889001197356,128.0,117.4061433447099,-10.593856655290097
202,P1,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.09914067179552521,0.08503119549056792,-0.014109476304957291,0.12921539178451893,0.11896387434970138,-0.010251517434817559,0.09914067179552521,0.08503119549056792,-0.014109476304957291,7.8696980476379395,8.106757164001465,0.2370591163635254,100.44109699992987,76.41629099998681,-24.024805999943055,128.0,116.98770949720671,-11.012290502793292
202,P1,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18982016427036172,0.1822196468677563,-0.007600517402605422,0.2075203748843785,0.19989119355740767,-0.007629181326970824,0.18982016427036172,0.1822196468677563,-0.007600517402605422,11.350646018981934,11.329190254211426,-0.021455764770507812,100.45594899975185,83.61178599898267,-16.844163000769186,128.0,131.02258726899385,3.0225872689938456
202,P2,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11836638436597938,0.113049880617214,-0.005316503748765383,0.12341134536607341,0.11916414859098093,-0.004247196775092485,0.11836638436597938,0.113049880617214,-0.005316503748765383,4.7739577293396,4.825387477874756,0.05142974853515625,99.8847939999905,75.4389394996906,-24.4458545002999,128.0,115.08096280087527,-12.91903719912473
202,P2,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.08900559815961961,0.07322522113888952,-0.015780377020730096,0.12243424221764407,0.11144981628939601,-0.010984425928248054,0.08900559815961961,0.07322522113888952,-0.015780377020730096,8.026844024658203,8.15698528289795,0.1301412582397461,100.7567705000838,75.66304600004514,-25.09372450003866,128.0,115.60298826040555,-12.397011739594447
202,P2,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17701207356065765,0.1719724346780637,-0.005039638882593955,0.19990896723333793,0.1927269287393151,-0.007182038494022824,0.17701207356065765,0.1719724346780637,-0.005039638882593955,11.895374298095703,11.868932723999023,-0.026441574096679688,100.85316100048658,82.42178000091371,-18.431380999572866,128.0,127.37377690802349,-0.626223091976513
202,S1,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21178437053335752,0.19141426392183955,-0.020370106611517974,0.21827836272334125,0.19685594937191853,-0.021422413351422726,0.21178437053335752,0.19141426392183955,-0.020370106611517974,4.543221473693848,4.595550060272217,0.05232858657836914,101.11442300012641,83.86291600072582,-17.25150699940059,128.0,131.1137162954279,3.1137162954279063
202,S1,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.17181314644368095,0.1428157205210151,-0.028997425922665854,0.1811095400071681,0.1549452962194683,-0.026164243787699826,0.17181314644368095,0.1428157205210151,-0.028997425922665854,7.0259108543396,7.193286895751953,0.16737604141235352,101.56200849996821,77.65589700011333,-23.906111499854887,128.0,116.94883720930233,-11.051162790697674
202,S1,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19914931431967883,0.19479138094252813,-0.004357933377150708,0.22348094832238444,0.2167635221086043,-0.006717426213780131,0.19914931431967883,0.19479138094252813,-0.004357933377150708,12.26958179473877,12.30019760131836,0.030615806579589844,101.25894199973118,84.23605600000883,-17.022885999722348,128.0,130.56445993031357,2.564459930313575
